player_id,name,age,photo_url,position_group,detailed_position,team_id,team_name,team_logo,league_id,season,appearances,starts,minutes_played,rating,goals,assists,shots,shots_on_target,key_passes,passes_total,dribbles_succ,tackles,interceptions,blocks,duels_won,fouls_drawn,fouls_committed,cards,goals_per90,assists_per90,shots_per90,shots_on_target_per90,goal_contributions_per90,key_passes_per90,successful_dribbles_per90,tackles_per90,interceptions_per90,blocks_per90,defensive_actions_per90,duels_won_per90,fouls_drawn_per90,fouls_committed_per90,cards_per90,shot_accuracy,goal_conversion,key_pass_rate,pass_accuracy,duel_success_rate,dribble_success_rate
74,S. Amrabat,29,https://media.api-sports.io/football/players/74.png,Midfielder,Midfielder,33,Manchester United,https://media.api-sports.io/football/teams/33.png,39,2023,21,17,944,6.589473,0,0,2,0,6,645,6,27,8,7,48,10,24,6,0.0,0.0,0.19,0.0,0.0,0.57,0.57,2.57,0.76,0.67,4.0,4.58,0.95,2.29,0.57,0.0,0.0,0.93,0.0,46.15,75.0
76,M. Nakamba,31,https://media.api-sports.io/football/players/76.png,Midfielder,Midfielder,1359,Luton,https://media.api-sports.io/football/teams/1359.png,39,2023,13,13,1133,6.76923,0,0,4,0,7,415,3,40,11,6,56,9,24,5,0.0,0.0,0.32,0.0,0.0,0.56,0.24,3.18,0.87,0.48,4.53,4.45,0.71,1.91,0.4,0.0,0.0,1.69,0.0,49.56,37.5
83,A. Danjuma,28,https://media.api-sports.io/football/players/83.png,Attacker,Attacker,45,Everton,https://media.api-sports.io/football/teams/45.png,39,2023,28,16,595,6.657142,1,0,17,9,6,140,8,6,3,0,22,5,6,0,0.15,0.0,2.57,1.36,0.15,0.91,1.21,0.91,0.45,0.0,1.36,3.33,0.76,0.91,0.0,52.94,5.88,4.29,0.0,41.51,42.11
95,B. Badiashile,24,https://media.api-sports.io/football/players/95.png,Defender,Defender,49,Chelsea,https://media.api-sports.io/football/teams/49.png,39,2023,25,19,1337,6.741176,0,1,4,1,6,1165,0,21,18,14,55,6,17,3,0.0,0.07,0.27,0.07,0.07,0.4,0.0,1.41,1.21,0.94,3.57,3.7,0.4,1.14,0.2,25.0,0.0,0.52,62.0,53.4,0.0
104,Carlos Vinícius,31,https://media.api-sports.io/football/players/104.png,Attacker,Forward,36,Fulham,https://media.api-sports.io/football/teams/36.png,39,2023,13,6,320,6.623076,2,0,9,5,5,61,2,3,0,0,11,2,4,2,0.56,0.0,2.53,1.41,0.56,1.41,0.56,0.84,0.0,0.0,0.84,3.09,0.56,1.12,0.56,55.56,22.22,8.2,0.0,25.58,25.0
130,Nélson Semedo,32,https://media.api-sports.io/football/players/130.png,Defender,Defender,39,Wolves,https://media.api-sports.io/football/teams/39.png,39,2023,36,36,3093,6.722222,0,1,10,4,24,1516,51,79,36,8,182,30,48,11,0.0,0.03,0.29,0.12,0.03,0.7,1.48,2.3,1.05,0.23,3.58,5.3,0.87,1.4,0.32,40.0,0.0,1.58,0.0,52.3,63.75
133,C. Lenglet,31,https://media.api-sports.io/football/players/133.png,Defender,Defender,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,2023,14,14,1155,6.771428,0,1,5,2,2,910,3,13,7,11,43,12,3,3,0.0,0.08,0.39,0.16,0.08,0.16,0.23,1.01,0.55,0.86,2.42,3.35,0.94,0.23,0.23,40.0,0.0,0.22,58.0,63.24,60.0
163,S. Aurier,33,https://media.api-sports.io/football/players/163.png,Defender,Defender,65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,39,2023,12,11,834,6.825,0,2,5,1,4,391,3,20,9,3,62,9,8,2,0.0,0.22,0.54,0.11,0.22,0.43,0.32,2.16,0.97,0.32,3.45,6.69,0.97,0.86,0.22,20.0,0.0,1.02,0.0,53.91,21.43
164,B. Davies,32,https://media.api-sports.io/football/players/164.png,Defender,Defender,47,Tottenham,https://media.api-sports.io/football/teams/47.png,39,2023,30,22,1093,7.017647,1,0,11,2,4,812,4,24,10,15,76,19,8,2,0.08,0.0,0.91,0.16,0.08,0.33,0.33,1.98,0.82,1.24,4.03,6.26,1.56,0.66,0.16,18.18,9.09,0.49,43.0,63.87,40.0
169,K. Trippier,35,https://media.api-sports.io/football/players/169.png,Defender,Defender,34,Newcastle,https://media.api-sports.io/football/teams/34.png,39,2023,28,26,2239,7.333333,1,10,6,2,65,1711,16,57,24,8,125,21,27,5,0.04,0.4,0.24,0.08,0.44,2.61,0.64,2.29,0.96,0.32,3.58,5.02,0.84,1.09,0.2,33.33,16.67,3.8,48.0,55.8,72.73
174,C. Eriksen,33,https://media.api-sports.io/football/players/174.png,Midfielder,Midfielder,33,Manchester United,https://media.api-sports.io/football/teams/33.png,39,2023,33,24,1160,6.868181,1,2,8,4,27,754,3,18,4,6,25,3,7,1,0.08,0.16,0.62,0.31,0.23,2.09,0.23,1.4,0.31,0.47,2.17,1.94,0.23,0.54,0.08,50.0,12.5,3.58,0.0,32.47,50.0
175,E. Dier,32,https://media.api-sports.io/football/players/175.png,Defender,Defender,47,Tottenham,https://media.api-sports.io/football/teams/47.png,39,2023,4,1,199,6.5,0,0,0,0,0,141,0,2,2,3,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.36,3.17,2.71,0.45,0.0,0.0,0.0,0.0,0.0,0.0,54.55,0.0
180,O. Skipp,25,https://media.api-sports.io/football/players/180.png,Midfielder,Midfielder,47,Tottenham,https://media.api-sports.io/football/teams/47.png,39,2023,21,5,695,6.638095,0,0,1,1,8,373,2,18,3,1,35,12,8,3,0.0,0.0,0.13,0.13,0.0,1.04,0.26,2.33,0.39,0.13,2.85,4.53,1.55,1.04,0.39,100.0,0.0,2.14,0.0,52.24,66.67
186,Son Heung-Min,33,https://media.api-sports.io/football/players/186.png,Attacker,Attacker,47,Tottenham,https://media.api-sports.io/football/teams/47.png,39,2023,35,34,2948,7.568571,17,10,63,40,69,1025,39,21,8,1,104,39,12,1,0.52,0.31,1.92,1.22,0.82,2.11,1.19,0.64,0.24,0.03,0.92,3.18,1.19,0.37,0.03,63.49,26.98,6.73,0.0,45.22,45.35
207,I. Perišić,36,https://media.api-sports.io/football/players/207.png,Attacker,Attacker,47,Tottenham,https://media.api-sports.io/football/teams/47.png,39,2023,5,0,98,7.04,0,1,1,0,5,61,4,3,2,0,13,1,2,2,0.0,0.92,0.92,0.0,0.92,4.59,3.67,2.76,1.84,0.0,4.59,11.94,0.92,1.84,1.84,0.0,0.0,8.2,0.0,65.0,57.14
247,C. Gakpo,26,https://media.api-sports.io/football/players/247.png,Attacker,Attacker,40,Liverpool,https://media.api-sports.io/football/teams/40.png,39,2023,35,23,1652,7.105714,8,5,49,24,25,535,31,26,13,4,126,38,28,1,0.44,0.27,2.67,1.31,0.71,1.36,1.69,1.42,0.71,0.22,2.34,6.86,2.07,1.53,0.05,48.98,16.33,4.67,0.0,51.01,64.58
253,A. Areola,32,https://media.api-sports.io/football/players/253.png,Midfielder,Goalkeeper,48,West Ham,https://media.api-sports.io/football/teams/48.png,39,2023,31,31,2702,7.377419,0,0,0,0,0,718,1,1,1,0,15,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.07,0.5,0.1,0.07,0.03,0.0,0.0,0.0,0.0,75.0,100.0
259,Thiago Silva,41,https://media.api-sports.io/football/players/259.png,Defender,Defender,49,Chelsea,https://media.api-sports.io/football/teams/49.png,39,2023,31,30,2537,7.06129,3,1,9,4,9,2280,2,29,27,24,90,8,10,4,0.11,0.04,0.32,0.14,0.14,0.32,0.07,1.03,0.96,0.85,2.84,3.19,0.28,0.35,0.14,44.44,33.33,0.39,69.0,63.83,100.0
269,C. Nkunku,28,https://media.api-sports.io/football/players/269.png,Attacker,Attacker,49,Chelsea,https://media.api-sports.io/football/teams/49.png,39,2023,11,2,435,6.881818,3,0,13,9,3,177,2,5,2,1,24,7,8,0,0.62,0.0,2.69,1.86,0.62,0.62,0.41,1.03,0.41,0.21,1.66,4.97,1.45,1.66,0.0,69.23,23.08,1.69,0.0,46.15,28.57
277,M. Diaby,26,https://media.api-sports.io/football/players/277.png,Attacker,Attacker,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,2023,38,31,2197,6.967567,6,8,39,23,47,569,29,12,9,1,58,15,16,1,0.25,0.33,1.6,0.94,0.57,1.93,1.19,0.49,0.37,0.04,0.9,2.38,0.61,0.66,0.04,58.97,15.38,8.26,0.0,33.53,43.94
280,Alisson Becker,33,https://media.api-sports.io/football/players/280.png,Midfielder,Goalkeeper,40,Liverpool,https://media.api-sports.io/football/teams/40.png,39,2023,28,28,2520,7.035714,0,0,0,0,1,997,0,0,0,0,11,5,1,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.39,0.18,0.04,0.04,0.0,0.0,0.1,0.0,73.33,0.0
281,C. Kelleher,27,https://media.api-sports.io/football/players/281.png,Midfielder,Goalkeeper,40,Liverpool,https://media.api-sports.io/football/teams/40.png,39,2023,10,10,900,6.96,0,0,0,0,1,387,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.26,0.0,100.0,0.0
283,T. Alexander-Arnold,27,https://media.api-sports.io/football/players/283.png,Defender,Defender,40,Liverpool,https://media.api-sports.io/football/teams/40.png,39,2023,28,25,2161,7.332142,3,4,33,8,64,1683,28,39,31,2,84,9,9,6,0.12,0.17,1.37,0.33,0.29,2.67,1.17,1.62,1.29,0.08,3.0,3.5,0.37,0.37,0.25,24.24,9.09,3.8,49.0,44.92,57.14
284,J. Gomez,28,https://media.api-sports.io/football/players/284.png,Defender,Defender,40,Liverpool,https://media.api-sports.io/football/teams/40.png,39,2023,32,17,1777,6.935483,0,1,14,2,22,1148,15,47,19,4,109,16,28,5,0.0,0.05,0.71,0.1,0.05,1.11,0.76,2.38,0.96,0.2,3.55,5.52,0.81,1.42,0.25,14.29,0.0,1.92,0.0,53.69,55.56
286,J. Matip,33,https://media.api-sports.io/football/players/286.png,Defender,Defender,40,Liverpool,https://media.api-sports.io/football/teams/40.png,39,2023,10,9,783,7.04,0,0,4,0,2,563,0,12,9,12,43,3,7,2,0.0,0.0,0.46,0.0,0.0,0.23,0.0,1.38,1.03,1.38,3.79,4.94,0.34,0.8,0.23,0.0,0.0,0.36,49.0,61.43,0.0
289,A. Robertson,31,https://media.api-sports.io/football/players/289.png,Defender,Defender,40,Liverpool,https://media.api-sports.io/football/teams/40.png,39,2023,23,19,1691,7.447826,3,2,9,7,65,1244,5,35,13,6,59,5,9,2,0.16,0.11,0.48,0.37,0.27,3.46,0.27,1.86,0.69,0.32,2.87,3.14,0.27,0.48,0.11,77.78,33.33,5.23,47.0,51.75,29.41
